handout,handout_name,row_id,original_entry,original_decision,chapter,topic,book_printed_pages,source_pages,integrated_disposition,integrated_ids,detail
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-01,,duplicate/exclude,1,"GI tract functions, enteric nervous system, immune role",1-2,GIT Internal Med p. 1,excluded by original handout,,Generic introductory statements with no clinical/examinable incremental value (filler).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-02,C1-02,include,1,Functional vs organic symptoms; 20% of cancers are GI,2,GIT Internal Med p. 1,retained,E01.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-03,,duplicate/exclude,1,Alarm symptoms,2,GIT Internal Med p. 1,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-04,,duplicate/exclude,1,"Stomatitis, angular stomatitis, dysphagia, odynophagia, dyspepsia definitions",2-3,GIT Internal Med p. 1,excluded by original handout,,Covered; dentures example is trivial.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-05,C1-05/06/08,include,1,Mechanism of vomiting,3,GIT Internal Med p. 2,retained,E01.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-06,C1-05/06/08,include,1,Phases before vomiting: nausea and retching,3,GIT Internal Med p. 2,retained,E01.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-07,,duplicate/exclude,1,Character of vomitus,3,GIT Internal Med p. 2,excluded by original handout,,Covered in other MAIN chapters within 1-197.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-08,C1-05/06/08,include,1,Causes of vomiting: vestibular disease,3,GIT Internal Med p. 2,retained,E01.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-09,C1-09,include,1,Flatulence,3,GIT Internal Med p. 2,retained,E01.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-10,,duplicate/exclude,1,Diarrhoea definition and clinical clues,3,GIT Internal Med p. 3,excluded by original handout,,Fully covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-11,,duplicate/exclude,1,Constipation definition,3-4,GIT Internal Med p. 3,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-12,C1-12,include,1,Abdominal pain mechanism and pseudo-acute abdomen,4,GIT Internal Med p. 4,retained,E01.04,E01.04: Merged IM C1-12 (addition: porphyria) with IM pearl C1-13/14/15: same book page and section (abdominal pain).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-13,C1-13/14/15,include,1,"Epigastric pain: food, functional dyspepsia vs peptic ulcer, heartburn",4,GIT Internal Med p. 4,retained,E01.04,E01.04: Merged IM C1-12 (addition: porphyria) with IM pearl C1-13/14/15: same book page and section (abdominal pain).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-14,C1-13/14/15,include,1,Right hypochondrial pain,4,GIT Internal Med p. 4,retained,E01.04,E01.04: Merged IM C1-12 (addition: porphyria) with IM pearl C1-13/14/15: same book page and section (abdominal pain).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-15,C1-13/14/15,include,1,Lower abdominal pain,4,GIT Internal Med p. 4,retained,E01.04,E01.04: Merged IM C1-12 (addition: porphyria) with IM pearl C1-13/14/15: same book page and section (abdominal pain).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-16,,duplicate/exclude,1,Abdominal wall pain,4,GIT Internal Med p. 4,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-17,,duplicate/exclude,1,Anorexia and weight loss,4,GIT Internal Med p. 5,excluded by original handout,,Objective assessment clause is incremental.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-18,,duplicate/exclude,1,Haematemesis and melaena definitions,4,GIT Internal Med p. 5,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-19,C1-19/20,include,1,Dark blood and clots without shock,4,GIT Internal Med p. 5,retained,E01.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-20,C1-19/20,include,1,Haematochezia: ligament of Treitz and rapid transit,4,GIT Internal Med p. 5,retained,E01.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-21,,duplicate/exclude,1,"Laboratory and stool tests, FOBT/FIT, calprotectin, tumour markers",5,GIT Internal Med p. 6,excluded by original handout,,Covered; no real disagreement on markers.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-22,,duplicate/exclude,1,EGD,5,GIT Internal Med p. 6,excluded by original handout,,Covered (benign/malignant qualifier is paraphrase-level).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-23,C1-23/24/25/26,include,1,Sigmoidoscopy: indications and reach,6,GIT Internal Med p. 6,retained,E01.06,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-24,C1-23/24/25/26,include,1,Colonoscopy,6,GIT Internal Med p. 6,retained,E01.06,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-25,C1-23/24/25/26,include,1,Balloon enteroscopy,7,GIT Internal Med p. 7,retained,E01.06,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-26,C1-23/24/25/26,include,1,Capsule endoscopy contraindication,7,GIT Internal Med p. 7,retained,E01.06,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-27,,duplicate/exclude,1,EUS,7,GIT Internal Med p. 7,excluded by original handout,,Covered.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-28,,duplicate/exclude,1,Imaging: general principles,7,GIT Internal Med p. 7,excluded by original handout,,"Generic statement, excluded as filler."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-29,C1-29/30/31/34,include,1,Plain X-ray,7,GIT Internal Med p. 7,retained,E01.07,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-30,C1-29/30/31/34,include,1,Ultrasound,8,GIT Internal Med p. 7,retained,E01.07,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-31,C1-29/30/31/34,include,1,CT: contrast and sensitivity,8,GIT Internal Med p. 8,retained,E01.07,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-32,C1-32,include,1,CT colonography technique,8,GIT Internal Med p. 8,retained,E01.08,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-33,,duplicate/exclude,1,MRI and MR enterography,8,GIT Internal Med p. 8,excluded by original handout,,Covered; remaining details (multiplanarity) are trivial.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-34,C1-29/30/31/34,include,1,PET,8-9,GIT Internal Med p. 8,retained,E01.07,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-35,C1-35/36/37,include,1,Barium swallow and double-contrast meal,9,GIT Internal Med p. 9,retained,E01.09,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C1-36,C1-35/36/37,include,1,Small bowel follow-through,9,GIT Internal Med p. 9,retained,E01.09,
