id,source_pages_hapatology,source_excerpt,topic,book_chapter,book_printed_pages,book_has,new_contribution,evidence_type,agent_decision,final_decision,reason,handout_location
A-01,1,"Yellowish discoloration of the skin, sclera & mucous membrane, bilirubin >3mg.",Jaundice threshold,29 Jaundice,"237, 350",p350: jaundice evident at plasma bilirubin 3 to 4 mg/dL,-,text,exclude,exclude,Covered (book gives 3-4 mg/dL; consistent).,
A-02,1,Palmar erythema: a persistent redness of the palms. Spider naevi: a small red marks on the skin caused by dilated blood vessels (capillaries),Skin signs of chronic liver disease: definitions,18 Liver Disease Assessment,"237, 238, 282","p282 lists spider naevi and palmar erythema; p238 'Skin and endocrine changes' without definitions; no definition found (searched: palmar, palmer, spider, erythema)",Palmar erythema is persistent redness of the palms; spider naevi are small red skin marks caused by dilated capillaries near the skin surface.,text,include,include,Book names the signs but never defines them; low priority.,Ch 18 · Symptoms and signs of chronic liver disease
A-03,1,"Liver is the site of synthesis of fibrinogen, factors II, V, VII, IX, XI, XII, and XIII.",Coagulation factors made by the liver,18 Liver Disease Assessment,"238, 246","p246: 'PT is dependent on normal hepatic synthesis of coagulation factors'; vitamin K-dependent II, VII, IX, X listed; no list of liver-synthesised factors (searched: fibrinogen, XIII, factor VIII, clotting factors)","The bleeding tendency of chronic liver disease reflects failed hepatic synthesis of fibrinogen and factors II, V, VII, IX, XI, XII and XIII.",text,include,include,Specific factor list absent from book.,Ch 18 · Symptoms and signs of chronic liver disease
A-04,2,"It is shown by flushed extremities, bounding pulses and capillary pulsations - Portal blood flow is increased. - The blood pressure is low.",Hyperdynamic circulation: signs and haemodynamics,18 Liver Disease Assessment,"237, 282","p237: heading 'Vasodilation and hyperdynamic circulation' with only CV alterations listed; p282: warm hands, high volume pulse, tachycardia; p363 reduced SVR (only for acute liver failure) (searched: flushed, bounding, capillary, portal blood flow, blood pressure, vascular resistance)","Hyperdynamic circulation in chronic liver disease shows flushed extremities, bounding pulses and capillary pulsations, with increased portal blood flow, low blood pressure and reduced systemic peripheral vascular resistance.",text,include,include,"Capillary pulsations, raised portal flow, low BP and reduced SVR in chronic liver disease not stated in Ch 18/22.",Ch 18 · Symptoms and signs of chronic liver disease
A-05,2,The substances might be 1) Formed by the sick hepatocyte. 2) Fail to be inactivated by it. 3) Bypass it through intra or extra-hepatic portal-systemic shunts.,Origin of vasodilators in chronic liver disease,18 Liver Disease Assessment,"237, 282, 338","p282: 'excess vasodilator materials (VDM)' without origin; p339 peripheral vasodilatation -> RAAS (searched: vasodilat, shunt, VDM)","The vasodilators are probably multiple and may be formed by the sick hepatocyte, escape inactivation by it, or bypass it through intra- or extra-hepatic portosystemic shunts; they activate the sympathetic and renin-angiotensin systems, promoting sodium/water retention and ascites.",text,include,include,Mechanism of VDM excess not given in book.,Ch 18 · Symptoms and signs of chronic liver disease
A-06,2,One of the implicated substances in that respect is Nitric Oxide ( NO)... NO is important in ascites formation and the hepato-renal syndrome and in portal hypertension.,Nitric oxide and prostanoids as vasodilators,18 Liver Disease Assessment,"237, 282, 339, 346","p346 mentions only decreased renal vasodilators (PGE2, NO) in HRS; NO as the systemic/splanchnic vasodilator of hyperdynamic circulation not found (searched: nitric, NO), prostanoid/prostaglandin not found","Nitric oxide, an endothelium-derived potent vasodilator, is implicated in the hyperdynamic circulation and is important in ascites formation, hepatorenal syndrome and portal hypertension; prostanoids released into the portal vein in chronic liver disease may also contribute to vasodilatation.",text,include,include,"Book gives NO only as a reduced renal vasodilator in HRS, not as the driver of systemic vasodilatation. Source lists 'Prostaglandins (E1, E2 and E12)' - 'E12' looks garbled, so the specific subtype list is left out.",Ch 18 · Symptoms and signs of chronic liver disease
A-07,2,[figure] Nitric oxide / Prostaglandin / Endocannabinoids -> Splanchnic vasodilation ... Increased cardiac output,"Vasodilator cycle figure: endocannabinoids, raised cardiac output",18 Liver Disease Assessment,"237, 339","not found (searched: endocannab, cardiac output [only ALF p363], intrahepatic resistance); book Fig 18.1 p237 is a pictorial of signs only","The figure lists endocannabinoids alongside nitric oxide and prostaglandins as splanchnic vasodilators, and shows raised cardiac output with raised intrahepatic resistance and portal blood flow in the cycle leading to ascites and hepatorenal syndrome.",image-figure,include,include,Image-only content; endocannabinoids and raised cardiac output in cirrhosis absent from book.,Ch 18 · Symptoms and signs of chronic liver disease
A-08,2,Is a condition of acute kidney injury seen in patient with advanced liver disease with normal kidney histology.,Hepatorenal syndrome definition,28 Renal Impairment in Cirrhosis,"237, 346","p346: HRS in cirrhosis, histology of kidney normal, full pathogenesis",-,text,exclude,exclude,Covered in more detail in Ch 28.,
A-09,3,Triphasic CT is the investigation of choice for the diagnosis of hepatocellular carcinoma.,"Imaging (US, Doppler, CT, MRI, MRCP, X-ray, Fibroscan, upper endoscopy)",18 Liver Disease Assessment,"239, 240, 241, 242",pp239-242 reproduce all statements incl. Fibroscan 80-95%,-,text,exclude,exclude,Covered verbatim.,
A-10,4,Contrast is injected into both systems and the patient is screened Radilogically.,"ERCP, EUS, PTC, liver biopsy",18 Liver Disease Assessment,"242, 243, 394, 395",pp242-243 reproduce all; ERCP/PTC also Ch 35 pp394-395,-,text,exclude,exclude,Covered verbatim.,
