id,decision,handout_entry,handout_section,others_page,others_quote,others_quote_check,topic,book_chapter,book_chapter_title,book_printed_page,book_pdf_file,book_pdf_page,fits_after,book_evidence,new_contribution,reason,central_review
PH-01,exclude,,,1,Omeprazole - Esomeprazole – Lansoprazole - Dexalansoprazole - Pantoprazole - Rabeprazole (oral – IV - 20-40 mg/d),verbatim on page,PPI members and mechanism,3,The Stomach and Duodenum,44,first-half,47,Pharmacology of treatment of Gastritis and Peptic ulcer > A- Anti-secretory drugs > 1. Proton Pump Inhibitors,Omeprazole - Esomeprazole – Lansoprazole - Dexalansoprazole - Pantoprazole - ... Rabeprazole (oral – IV - 20-40 mg/d) ... Act on the final step of HCI secretion → Most effective acid suppressants.,,duplicate: reproduced verbatim in book,confirmed
PH-02,exclude,,,1,They are prodrugs →after absorption →parietal cells →secretory canaliculi →converted by acid into active form →inhibits H+/K+ ATPase,verbatim on page,PPI activation / anti-H. pylori effect,3,The Stomach and Duodenum,45,first-half,48,1. Proton Pump Inhibitors > Mechanism of Action,"They are prodrugs → after absorption → parietal cells → secretory canaliculi → converted by acid into active form → inhibits H+/K+ ATPase (proton pump) → Inhibit basal & meal stimulated acid secretion (98%, 1-2 h after 1st dose). They have anti- H. pylori effect (lansoprazole most potent)",,duplicate: reproduced verbatim in book,confirmed
PH-03,exclude,,,1,Weak bases →destroyed by gastric acidity & ionized in acid stomach ... Should be taken 30 – 60 minutes before meals,verbatim on page,"PPI pharmacokinetics (enteric coating, timing, 24 h duration, hepatic metabolism)",3,The Stomach and Duodenum,45,first-half,48,1. Proton Pump Inhibitors > Pharmacokinetics,1. Weak bases → destroyed by gastric acidity & ionized in acid stomach (not readily absorbed) → given in enteric-coated form 2. Should be taken 30 – 60 minutes before meals ... 4. Long duration (onset 1 hour & duration 24 hours ... 5. Metabolized in the liver.,,duplicate: reproduced verbatim in book,confirmed
PH-04,exclude,,,1,Hypochlorhydria →↑Risk of infection ... Vitamin B12 deficiency ... inhibit activation of clopidogrel,verbatim on page,PPI adverse effects,3,The Stomach and Duodenum,45,first-half,48,1. Proton Pump Inhibitors > Adverse effects,3. Hypochlorhydria → ↑ Risk of infection (e.g. hospital acquired pneumonia & H. pylori) and Gastric tumor (in animals) ... 4. Vitamin B12 deficiency (on long term use) 5. Enzyme inhibition (clinically insignificant but inhibit activation of clopidogrel).,,duplicate: reproduced verbatim in book,confirmed
PH-05,exclude,,,2,Irreversible PP inhibition ... Competitive reversible PP inhibition ... T1/2 = 6-9 hrs ... Acid stable,verbatim on page,P-CAB vs PPI comparison table,3,The Stomach and Duodenum,46,first-half,49,Potassium Competitive Acid Blockers (P-CAB),"Vonoprazan, revaprazan, tegoprazan (newer version of PPIs) ... Competitive reversible PP inhibition (↓ both active and inactive PP) ... Take 1 day for maximal acid suppression ... T1/2 = 6-9 hrs ... Not prodrug ... Acid stable (Taken before or after meals + Not need acid for activation)",,duplicate: reproduced verbatim in book (source 'hrs33' is a stray footnote digit),confirmed
PH-06,exclude,,,2,Complete inhibition of histamine mediated but partial inhibition of ACh or gastrin mediated HCI secretion.,verbatim on page,"H2 antagonists: members, mechanism, nocturnal vs meal-stimulated",3,The Stomach and Duodenum,46,first-half,49,H2-Receptor Antagonists > Mechanism & Pharmacological Actions,Reversible competitive antagonists of H2 receptors on parietal cells → Complete inhibition of histamine mediated but partial inhibition of ACh or gastrin mediated HCI secretion. Potent inhibition of nocturnal or fasting but less inhibition of daytime (meal-stimulated) acid secretion.,,duplicate: reproduced verbatim in book,confirmed
PH-07,exclude,,,2,Hypotension & bradycardia if given rapidly IV in intensive care (Block cardiac H2 receptors).,verbatim on page,H2 blocker adverse effects (cimetidine),3,The Stomach and Duodenum,46,first-half,49,H2-Receptor Antagonists > Adverse Effects,"Adverse Effects of H2 Blockers (Mostly with cimetidine) 1. Headache ... 2. Tolerance, rebound hyperacidity ... 4. Antiandrogenic ... 6. Hypotension & bradycardia if given rapidly IV in intensive care (Block cardiac H2 receptors) [p.46-47]",,duplicate: reproduced verbatim in book,confirmed
PH-08,exclude,,,3,Nizatidine ... 100% bioavailability (no 1st pass effect) ... Famotidine ... 50% decomposed by gastric acidity,verbatim on page,Individual H2 antagonists table + elimination,3,The Stomach and Duodenum,46,first-half,49,H2-Receptor Antagonists > Individual H2 Antagonists,Nizatidine 150 mg ... Famotidine 20 mg ... 100% bioavailability (no 1st pass effect) ... 50% decomposed by gastric acidity. Eliminated by hepatic metabolism → renal excretion ... dose reduction if ↓ Creatinine clearance or severe liver disease,,duplicate: reproduced verbatim in book,confirmed
PH-09,exclude,,,3,Advantages of PPIs and P-CABs over H2 antagonists ... Indications of Antisecretory Drugs,verbatim on page,"Advantages of PPIs/P-CABs; indications (PU, H. pylori, GERD, ZES, stress ulcer, varices, aspiration)",3,The Stomach and Duodenum,47,first-half,50,Indications of Antisecretory Drugs,Advantages of PPIs and P-CABs over H2 antagonists: 1. Higher efficacy ... 7- Bleeding oesophageal varices: to prevent recurrence (Parenteral) 8- To avoid aspiration pneumonia during surgery e.g. obstetric anesthesia before caesarian section (Parenteral),,duplicate: reproduced verbatim in book (varices indication also in ch23: 'PPI IV or H2 blockers'),confirmed
PH-10,exclude,,,4,"Sucralfate ... Misoprostol ... Colloidal Bismuth (mechanism, uses, ADRs table)",summary (not verbatim),Mucosal protectives table,3,The Stomach and Duodenum,48,first-half,51,Mucosal Protectives (Cytoprotectives),MUCOSAL PROTECTIVES (CYTOPROTECTIVES) 1. Sucralfate 2. Misoprostol 3. Colloidal Bismuth ... Encephalopathy and neurotoxicity especially in renal disease → not give >2 months & not restarted within 1 year.,,duplicate: reproduced verbatim in book,confirmed
